"","Date","cardox"
"1",1958-03-01,315.7
"2",1958-04-01,317.45
"3",1958-05-01,317.51
"4",1958-06-01,317.24
"5",1958-07-01,315.86
"6",1958-08-01,314.93
"7",1958-09-01,313.2
"8",1958-10-01,312.43
"9",1958-11-01,313.33
"10",1958-12-01,314.67
"11",1959-01-01,315.58
"12",1959-02-01,316.48
"13",1959-03-01,316.65
"14",1959-04-01,317.72
"15",1959-05-01,318.29
"16",1959-06-01,318.15
"17",1959-07-01,316.54
"18",1959-08-01,314.8
"19",1959-09-01,313.84
"20",1959-10-01,313.33
"21",1959-11-01,314.81
"22",1959-12-01,315.58
"23",1960-01-01,316.43
"24",1960-02-01,316.98
"25",1960-03-01,317.58
"26",1960-04-01,319.03
"27",1960-05-01,320.04
"28",1960-06-01,319.59
"29",1960-07-01,318.18
"30",1960-08-01,315.9
"31",1960-09-01,314.17
"32",1960-10-01,313.83
"33",1960-11-01,315
"34",1960-12-01,316.19
"35",1961-01-01,316.89
"36",1961-02-01,317.7
"37",1961-03-01,318.54
"38",1961-04-01,319.48
"39",1961-05-01,320.58
"40",1961-06-01,319.77
"41",1961-07-01,318.57
"42",1961-08-01,316.79
"43",1961-09-01,314.99
"44",1961-10-01,315.31
"45",1961-11-01,316.1
"46",1961-12-01,317.01
"47",1962-01-01,317.94
"48",1962-02-01,318.55
"49",1962-03-01,319.68
"50",1962-04-01,320.57
"51",1962-05-01,321.02
"52",1962-06-01,320.62
"53",1962-07-01,319.61
"54",1962-08-01,317.4
"55",1962-09-01,316.25
"56",1962-10-01,315.42
"57",1962-11-01,316.69
"58",1962-12-01,317.7
"59",1963-01-01,318.74
"60",1963-02-01,319.07
"61",1963-03-01,319.86
"62",1963-04-01,321.38
"63",1963-05-01,322.25
"64",1963-06-01,321.48
"65",1963-07-01,319.74
"66",1963-08-01,317.77
"67",1963-09-01,316.21
"68",1963-10-01,315.99
"69",1963-11-01,317.07
"70",1963-12-01,318.35
"71",1964-01-01,319.57
"72",1964-02-01,320.01
"73",1964-03-01,320.74
"74",1964-04-01,321.84
"75",1964-05-01,322.26
"76",1964-06-01,321.89
"77",1964-07-01,320.44
"78",1964-08-01,318.69
"79",1964-09-01,316.7
"80",1964-10-01,316.87
"81",1964-11-01,317.68
"82",1964-12-01,318.71
"83",1965-01-01,319.44
"84",1965-02-01,320.44
"85",1965-03-01,320.89
"86",1965-04-01,322.14
"87",1965-05-01,322.17
"88",1965-06-01,321.87
"89",1965-07-01,321.21
"90",1965-08-01,318.87
"91",1965-09-01,317.81
"92",1965-10-01,317.3
"93",1965-11-01,318.87
"94",1965-12-01,319.42
"95",1966-01-01,320.62
"96",1966-02-01,321.6
"97",1966-03-01,322.39
"98",1966-04-01,323.7
"99",1966-05-01,324.08
"100",1966-06-01,323.75
"101",1966-07-01,322.38
"102",1966-08-01,320.36
"103",1966-09-01,318.64
"104",1966-10-01,318.1
"105",1966-11-01,319.78
"106",1966-12-01,321.03
"107",1967-01-01,322.33
"108",1967-02-01,322.5
"109",1967-03-01,323.04
"110",1967-04-01,324.42
"111",1967-05-01,325
"112",1967-06-01,324.09
"113",1967-07-01,322.54
"114",1967-08-01,320.92
"115",1967-09-01,319.25
"116",1967-10-01,319.39
"117",1967-11-01,320.73
"118",1967-12-01,321.96
"119",1968-01-01,322.57
"120",1968-02-01,323.15
"121",1968-03-01,323.89
"122",1968-04-01,325.02
"123",1968-05-01,325.57
"124",1968-06-01,325.36
"125",1968-07-01,324.14
"126",1968-08-01,322.11
"127",1968-09-01,320.33
"128",1968-10-01,320.25
"129",1968-11-01,321.32
"130",1968-12-01,322.89
"131",1969-01-01,324
"132",1969-02-01,324.42
"133",1969-03-01,325.63
"134",1969-04-01,326.66
"135",1969-05-01,327.38
"136",1969-06-01,326.71
"137",1969-07-01,325.88
"138",1969-08-01,323.66
"139",1969-09-01,322.38
"140",1969-10-01,321.78
"141",1969-11-01,322.86
"142",1969-12-01,324.12
